DATE,RTWVDAK684NMFRBDAL,RTWVDAL684NMFRBDAL,RTWVDAR684NMFRBDAL,RTWVDAZ684NMFRBDAL,RTWVDCA684NMFRBDAL,RTWVDCO684NMFRBDAL,RTWVDCT684NMFRBDAL,RTWVDDE684NMFRBDAL,RTWVDFL684NMFRBDAL,RTWVDGA684NMFRBDAL,RTWVDHI684NMFRBDAL,RTWVDIA684NMFRBDAL,RTWVDID684NMFRBDAL,RTWVDIL684NMFRBDAL,RTWVDIN684NMFRBDAL,RTWVDKS684NMFRBDAL,RTWVDKY684NMFRBDAL,RTWVDLA684NMFRBDAL,RTWVDMA684NMFRBDAL,RTWVDMD684NMFRBDAL,RTWVDME684NMFRBDAL,RTWVDMI684NMFRBDAL,RTWVDMN684NMFRBDAL,RTWVDMO684NMFRBDAL,RTWVDMS684NMFRBDAL,RTWVDMT684NMFRBDAL,RTWVDNC684NMFRBDAL,RTWVDND684NMFRBDAL,RTWVDNE684NMFRBDAL,RTWVDNH684NMFRBDAL,RTWVDNJ684NMFRBDAL,RTWVDNM684NMFRBDAL,RTWVDNV684NMFRBDAL,RTWVDNY684NMFRBDAL,RTWVDOH684NMFRBDAL,RTWVDOK684NMFRBDAL,RTWVDOR684NMFRBDAL,RTWVDPA684NMFRBDAL,RTWVDRI684NMFRBDAL,RTWVDSC684NMFRBDAL,RTWVDSD684NMFRBDAL,RTWVDTN684NMFRBDAL,RTWVDTX684NMFRBDAL,RTWVDUT684NMFRBDAL,RTWVDVA684NMFRBDAL,RTWVDVT684NMFRBDAL,RTWVDWA684NMFRBDAL,RTWVDWI684NMFRBDAL,RTWVDWV684NMFRBDAL,RTWVDWY684NMFRBDAL
1988-01-01,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100,100,100,100,100,100,100,100,100,100
1988-02-01,101.3622,100.5809,99.8401,99.3138,100.2886,100.8241,100.7038,98.9678,100.6766,100.6255,100.8307,100.0962,100.3092,100.1786,99.9468,99.5618,100.6451,100.9057,101.0493,100.2084,99.9893,98.7884,100.6485,99.5178,100.2039,100.8390,100.7127,98.9935,100.1707,100.8463,100.6235,99.8877,101.2002,100.7275,100.0427,99.9365,100.4464,100.0063,100.5026,100.6097,100.2482,100.1061,98.4343,99.9613,101.3855,99.4504,100.6017,100.3083,100.6808,99.8654
1988-03-01,99.7182,98.7708,98.2421,97.5787,98.8583,99.2329,98.8914,97.3939,98.7705,99.2057,99.2732,98.5430,98.7646,98.6575,98.4069,97.9280,99.2466,99.5656,99.4782,98.8438,98.6364,97.1757,99.1266,97.6962,98.0809,99.3389,99.4111,97.1881,98.8386,98.8640,99.1903,97.9249,100.0110,99.6011,98.5778,98.3710,99.0400,98.4409,98.8373,99.1938,98.6887,98.58,96.4543,98.4862,100.2412,97.8065,98.9255,98.8168,99.0682,98.4012
1988-04-01,98.0834,97.5978,97.1513,96.4161,97.7964,98.1108,97.7077,96.4686,98.1822,98.3099,97.8593,97.4139,97.5141,97.6225,97.3549,96.5561,98.3608,98.6637,98.3738,97.8737,97.7052,96.1909,98.1648,96.4112,96.9318,98.1194,98.6172,96.0498,97.9091,97.9470,98.1379,96.7993,99.2158,98.6853,97.6162,97.2436,97.6819,97.5095,97.6726,98.1240,97.7009,97.7548,94.8036,97.6156,99.3683,96.8919,97.6056,97.9402,98.1586,97.3299
1988-05-01,98.0922,97.7479,97.2108,96.2616,97.8304,98.3767,97.8160,96.4836,98.1611,98.4913,97.8207,97.4740,97.5228,97.6146,97.4301,96.4587,98.7326,98.9079,98.6629,98.2188,97.8820,96.1333,98.4694,96.3257,97.1420,98.5080,98.9155,95.9720,98.0542,98.0740,98.3813,96.7772,99.8609,98.9494,97.7699,97.3299,97.7018,97.5618,98.0292,98.2370,98.0049,97.8382,94.3388,97.6953,100.0159,97.0343,97.5439,98.188,98.5741,97.109
1988-06-01,99.9353,98.9648,97.8530,97.0937,99.1374,100.2878,99.5099,95.8584,98.4151,99.9166,99.1897,98.2102,98.6012,98.4282,97.9930,97.1816,100.2611,100.6482,100.6494,99.0649,98.6286,95.4181,99.9989,96.8601,98.2206,100.1344,100.4547,95.9508,99.0759,99.8786,99.7942,97.7349,101.6895,100.4016,98.4071,98.1871,98.7265,98.3055,99.6913,99.5482,99.1794,98.7371,94.2945,98.5793,102.4303,96.8246,98.8043,99.2146,100.0943,97.5493
1988-07-01,104.0891,101.1151,99.3913,98.7349,101.5725,103.4514,102.0835,95.8218,97.8147,101.9854,102.6173,99.9839,101.0026,100.2023,99.4179,99.0431,102.7118,103.2523,103.8032,100.5292,100.0531,95.2679,102.6785,98.2146,99.2427,103.1197,102.8597,96.6068,101.0066,102.1922,102.0780,99.1069,104.8678,102.7816,99.8572,99.7388,101.0327,99.8041,102.1829,101.6294,101.3464,100.4058,94.7494,100.3442,105.9417,97.2564,101.4005,101.1106,102.5048,98.8229
1988-08-01,104.4369,101.8688,100.4209,99.3997,102.2710,104.5655,103.0977,97.2180,97.3327,102.8193,103.1635,101.0712,101.7078,101.2187,100.5004,99.6000,104.1432,103.7002,104.9918,101.5480,101.1293,96.5620,103.9293,99.0775,99.8323,104.4876,103.8580,97.8060,101.7512,102.9638,103.1975,99.5006,106.6439,103.6916,101.2988,100.7279,101.3950,100.6476,103.4580,102.4375,102.7563,101.4199,94.8514,101.2625,107.4433,98.767,101.8961,102.3616,103.8363,99.3065
1988-09-01,105.0402,103.1441,100.8650,99.6598,102.5950,104.8429,103.4600,97.8754,100.2370,103.0283,103.7157,101.4286,102.2626,101.6317,100.9322,99.9360,104.3229,103.7885,105.2879,101.7447,101.5656,97.1248,104.1846,99.4622,102.0963,104.8890,104.1551,98.2917,102.2112,103.3489,103.3309,100.5313,106.9663,103.9432,101.7163,101.0301,101.7538,100.9424,103.7579,102.6244,103.0915,101.6981,96.1634,101.5682,107.4852,99.3924,102.3046,102.7248,104.4961,99.6543
1988-10-01,101.1816,100.4260,98.6561,98.0715,100.4551,102.2259,101.0894,95.9370,97.8535,100.8703,100.4403,98.9995,99.7657,99.4835,98.6895,97.8929,101.9054,101.4134,102.6705,99.7169,99.5714,95.2499,101.6500,97.3552,99.7717,101.8243,101.9840,96.3525,100.1032,101.0440,101.0738,98.5847,104.4762,101.8126,99.6839,98.9035,99.3929,98.8541,101.4701,100.5236,100.6329,99.5889,94.7712,99.7412,105.1198,97.319,99.7353,100.5476,102.058,97.653
